updated 10/16/14,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID
N00025870,"Olsen, Norm",L,CO06,H2CO02122
N00035584,"Olsen, Randall",D,IL16,H4IL00032
N00029285,"Olson, Pete",R,TX22,H8TX22107
N00029613,"Orman, Greg",I,KSS1,S8KS00227
N00034310,"Orswell, Jack",R,CA27,H2CA27198
N00007581,"Ose, Doug",R,CA07,H8CA03105
N00036455,"Ostrowski, Andrew J",D,PA11,H4PA11052
N00035612,"Overby, Paula",3,MN02,H4MN02136
N00031011,"Owens, Bill",D,NY21,H0NY23081
N00036011,"Owens, Doug",D,UT04,H4UT04011
N00036063,"Paddock, Rebecca",L,TXS1,S4TX00573
N00035766,"Pakootas, Joe",D,WA05,H4WA05127
N00031958,"Palazzo, Steven",R,MS04,H0MS04120
N00000781,"Pallone, Frank Jr",D,NJ06,H8NJ03073
N00035691,"Palmer, Gary",R,AL06,H4AL06098
N00035846,"Panifi, Sara Jane",L,DC00,H4DC00068
N00036062,"Parachuri, Tanuja",L,TXS1,S4TX00565
N00032976,"Parker, Gail",3,VA01,H0VA01185
N00034564,"Partain, Johnny",L,TX15,H2TX15088
N00000751,"Pascrell, Bill Jr",D,NJ09,H6NJ08118
N00006397,"Pastor, Ed",D,AZ07,H2AZ02055
N00036822,"Pastorius, David Allen",I,OH13,H4OH13104
N00035104,"Paterson, Clark",L,TX01,H2TX01070
N00035640,"Patrick, Suzanne",D,VA02,H4VA02052
N00036772,"Patterson, David",L,KYS1,S4KY00182
N00036328,"Paul, Dierdre",R,NJ09,H4NJ09111
N00030836,"Paul, Rand",R,KYS2,S0KY00156
N00029391,"Paulsen, Erik",R,MN03,H8MN03077
N00034639,"Payne, Donald M Jr",D,NJ10,H2NJ10154
N00012672,"Pearce, Steve",R,NM02,H2NM02126
N00036714,"Pearson, Michael",I,MD07,H4MD07066
N00035567,"Peiser, Dave",D,CA49,H4CA49099
N00021580,"Pekarek, Thomas",R,OH13,H8OH11133
N00007360,"Pelosi, Nancy",D,CA12,H8CA05035
N00035516,"Perdue, David",R,GAS1,S4GA11285
N00036003,"Perez, Frank",D,TX32,H4TX32030
N00035984,"Perez, Jaime O",L,TX16,H4TX16082
N00027510,"Perlmutter, Edwin G",D,CO07,H6CO07023
N00036567,"Perri, Elizabeth",3,NY14,H4NY14090
N00034120,"Perry, Scott",R,PA04,H2PA04135
N00035903,"Perske, Joe",D,MN06,H4MN06129
N00036800,"Petermann, Jeff",L,IN02,H4IN02168
N00029277,"Peters, Gary",D,MIS1,S4MI00355
N00033591,"Peters, Scott",D,CA52,H2CA52089
N00004558,"Peterson, Collin",D,MN07,H2MN07014
N00026126,"Peterson, Richard",L,TX19,H4TX19235
N00004426,"Petri, Tom",R,WI06,H0WI06061
N00035975,"Petty, Ken",L,TX08,H4TX08105
N00036747,"Pfleegor, Scott",I,ARS1,S4AR00137
N00036168,"Phillip, Dan",I,OH07,H4OH07049
N00036437,"Phillips, Bartholomew J",I,TNS2,S4TN00450
N00029168,"Pierluisi, Pedro",D,PR00,H8PR00062
N00036024,"Piliere, Frank",I,VA10,H4VA10105
N00030005,"Ping, Catherine",R,IN07,H8IN07259
N00013817,"Pingree, Chellie",D,ME01,H8ME01120
N00034416,"Pittenger, Robert",R,NC09,H2NC09134
N00001633,"Pitts, Joe",R,PA16,H6PA16197
N00035979,"Pivoda, Emily",L,TX13,H4TX13071
N00035000,"Plaskett, Stacey",D,VI00,H2VI00082
N00035378,"Platt, Carol",R,FL09,H4FL09083
N00034992,"Pleasant, Martin",3,TNS2,S2TN00355
N00033549,"Pocan, Mark",D,WI02,H2WI02124
N00026457,"Poe, Ted",R,TX02,H4TX02108
N00035746,"Poetter, Tom",D,OH08,H4OH08070
N00034584,"Poliquin, Bruce",R,ME02,H4ME02234
N00029127,"Polis, Jared",D,CO02,H8CO02137
N00030744,"Pompeo, Mike",R,KS04,H0KS04051
N00036853,"Porambo, Joe",L,WYS2,S4WY00154
N00003682,"Portman, Rob",R,OHS2,S0OH00133
N00029662,"Posey, Bill",R,FL08,H8FL15107
N00035323,"Powers, Amos Scott",D,TN06,H4TN06168
N00004565,"Pressler, Larry",I,SDS2,S8SD00024
N00002260,"Price, David",D,NC04,H6NC04037
N00026160,"Price, Tom",R,GA06,H4GA06087
N00004092,"Proctor, Ken",L,MI07,H2MI07073
N00013823,"Pryor, Mark",D,ARS1,S0AR00028
N00036754,"Puccetti, Gregory",I,KY03,H4KY03244
N00031544,"Purl, Doug",L,TX34,H0TX15066
N00035812,"Quang, Tue Phan",R,CA11,H4CA11107
N00036597,"Quast, Bob",I,IAS2,S4IA00178
N00032951,"Quick, Mark D",I,NJ05,H0NJ05158
N00030581,"Quigley, Mike",D,IL05,H0IL05096
N00036410,"Rabel, Edward Lawrence Jr",I,WV02,H4WV02163
N00002198,"Rahall, Nick",D,WV03,H6WV04057
N00035757,"Raley, J P",L,TX04,H4TX04146
N00036568,"Ramirez, Eduardo",3,NY15,H4NY15121
N00036790,"Ramirez, Sampson U",I,AZ02,H4AZ02150
N00000964,"Rangel, Charles B",D,NY13,H6NY19029
N00035156,"Rankin, Ed",L,TX32,H2TX30103
N00004633,"Rankin, Sam",I,MTS2,S6MT00113
N00036782,"Ransdell, Robert Edward",I,KYS1,S4KY00208
N00035972,"Ratcliffe, John Lee",R,TX04,H4TX04153
N00036365,"Rath, Megan Ann",R,PA01,H4PA01103
N00032524,"Rawles, Mark J",3,TN08,H0TN08329
N00036579,"Ray, Buddy",I,OK05,H4OK05181
N00036523,"Ray, Leon Loe",I,FL09,H4FL09141
N00036553,"Ray, Troy",I,MS02,H4MS02183
N00036862,"Raymond, Robert",I,WI04,H4WI04266
N00029405,"Recchia, Domenic",D,NY11,H8NY13069
N00030145,"Redpath, William",L,VA10,H0VA10145
N00000362,"Reed, Jack",D,RIS2,S6RI00163
N00030776,"Reed, Mark",R,CA30,H0CA27101
N00030949,"Reed, Tom",R,NY23,H0NY29054
N00035999,"Reed, Wesley",D,TX27,H4TX27055
N00035860,"Reese, Brian",D,GA01,H4GA01120
N00036005,"Reeves, Jason",L,TX33,H4TX33020
N00036150,"Reich, Ed",I,MS04,H4MS04106
N00026885,"Reichert, Dave",R,WA08,H4WA08071
N00009922,"Reid, Harry",D,NVS2,S6NV00028
N00035752,"Reis, Rhue",R,RI02,H4RI02107
N00025216,"Reiter, George",3,TX09,H2TX25194
N00031127,"Renacci, Jim",R,OH16,H0OH16097
N00035560,"Renteria, Amanda",D,CA21,H4CA21072
N00013164,"Reyes, Art",I,HIS1,S0HI00118
N00036865,"Rhodes, John",3,NCS1,S4NC00287
N00030968,"Ribble, Reid",R,WI08,H0WI08075
N00035927,"Rice, Kathleen",D,NY04,H4NY04075
N00033832,"Rice, Tom",R,SC07,H2SC07066
N00036151,"Rich, Arthur",R,NC01,H4NC01095
N00030184,"Richmond, Cedric",D,LA02,H8LA02054
N00026683,"Ridley, H J Jr",3,TX36,H4TX08055
N00031653,"Ries, Bob",R,TN05,H0TN05150
N00030962,"Rigell, Scott",R,VA02,H0VA02084
N00036793,"Rike, Chris",L,AZ04,H4AZ04099
N00035845,"Rimensnyder, Nelson",R,DC00,H4DC00092
N00036346,"Rines, Caprice",3,NY04,H4NY04117
N00035583,"Ringo, Shirley",D,ID01,H4ID01081
N00029441,"Risch, James E",R,IDS1,S8ID00092
N00035549,"Ritch, John Thomas",L,NC11,H2NC11130
N00035642,"Ritchie, Jason",D,WA08,H4WA08121
N00036565,"Rivera, Daniel Vila",3,NY13,H4NY13076
N00030199,"Robbins, Frankie",D,OK03,H8OK03047
N00005285,"Roberts, Pat",R,KSS1,S6KS00080
N00035337,"Robertson, Martha",D,NY23,H4NY23067
N00032006,"Robinson, Art",R,OR04,H0OR04081
N00035753,"Robinson, Corinna",D,SD01,H4SD00049
N00036298,"Robinson, Joey",L,MS04,H4MS04148
N00035639,"Robles, Luz",D,UT02,H4UT02197
N00030768,"Roby, Martha",R,AL02,H0AL02087
N00001685,"Rockefeller, Jay",D,WVS2,S4WV00027
N00036591,"Rockwood, Chris",D,WI05,H4WI05099
N00035719,"Rodgers, Mike",3,FL16,H4FL16120
N00028463,"Roe, Phil",R,TN01,H6TN01388
N00003473,"Rogers, Hal",R,KY05,H0KY05015
N00009668,"Rogers, Mike",R,MI08,H0MI08042
N00024759,"Rogers, Mike D",R,AL03,H2AL03032
N00036830,"Rogers, Warren",I,UT02,H4UT02247
N00033985,"Rogers, Wendy",R,AZ09,H2AZ09035
N00007151,"Rohrabacher, Dana",R,CA48,H8CA42061
N00031741,"Rokita, Todd",R,IN04,H0IN04170
N00029814,"Roland, Jon",L,TXS1,S8TX00244
N00028747,"Romaguera, Allan",3,NY07,H6NY12115
N00031163,"Romanoff, Andrew",D,CO06,H4CO06087
N00029018,"Rooney, Tom",R,FL17,H8FL16022
N00036421,"Roots, Roger",L,MTS2,S4MT00142
N00002858,"Ros-Lehtinen, Ileana",R,FL27,H0FL18025
N00004719,"Roskam, Peter",R,IL06,H6IL06117
N00030645,"Ross, Dennis",R,FL15,H0FL12101
N00035855,"Rossano, Timothy",I,FL19,H4FL19082
N00035344,"Rothblatt, Gabriel",D,FL08,H4FL08085
N00031253,"Rothfus, Keith J",R,PA12,H0PA04220
N00035187,"Rounds, Mike",R,SDS2,S4SD00049
N00033527,"Rouzer, David",R,NC07,H2NC07096
N00029419,"Rowley, Ryan",L,TX34,H8TX22149
N00006671,"Roybal-Allard, Lucille",D,CA40,H2CA33048
N00008264,"Royce, Ed",R,CA39,H6CA39020
N00013336,"Rozzo, Tino",3,NJ02,H0NJ02098
N00030612,"Rubio, Marco",R,FLS2,S0FL00338
N00033510,"Ruiz, Raul",D,CA36,H2CA36439
N00036581,"Rumzie, Robert",L,OR02,H4OR02210
N00031988,"Runyan, Jon",R,NJ03,H0NJ03153
N00025482,"Ruppersberger, Dutch",D,MD02,H2MD02160
N00004887,"Rush, Bobby L",D,IL01,H2IL01042
N00033229,"Russell, Jeffrey",3,CT01,H4CT01060
N00036748,"Russell, Richard",I,LA03,H4LA03119
N00036175,"Russell, Steven",R,OK05,H4OK05132
N00004357,"Ryan, Paul",R,WI01,H8WI01024
N00025280,"Ryan, Tim",D,OH13,H2OH17109
N00030418,"Sablan, Gregorio",I,MP00,H8MP00041
N00036817,"Salas, Andrew",D,MP00,H4MP00016
N00036438,"Salekin, Choudury",I,TNS2,S4TN00468
N00006446,"Salmon, Matt",R,AZ05,H4AZ01038
N00035068,"Salvette, Emily",L,MI01,H2MI01126
N00034802,"Salyer, Michael",L,TN01,H2TN01098
N00035699,"Samuelson, James Alan",I,AZ05,H4AZ05070
N00032211,"Sanchez, David",D,CA40,H0CA34099
N00036061,"Sanchez, Emily",3,TXS1,S4TX00557
N00036792,"Sanchez, Federico",I,AZ03,H4AZ03075
N00024870,"Sanchez, Linda",D,CA38,H2CA39078
N00008274,"Sanchez, Loretta",D,CA46,H6CA46033
N00000528,"Sanders, Bernie",I,VTS1,S4VT00033
N00036641,"Sandman, Ray Skip",3,MN08,H4MN08091
N00036720,"Sanford, Jeffry",L,LA01,H4LA01139
N00002424,"Sanford, Mark",R,SC01,H4SC01073
N00036362,"Sannes, Marvin",I,ORS1,S4OR00230
N00027751,"Sarbanes, John",D,MD03,H6MD03292
N00036442,"Sarvis, Robert Christopher",L,VAS2,S4VA00189
N00035544,"Sasse, Ben",R,NES2,S4NE00090
N00036753,"Saucier, Charles",L,LA05,H4LA05262
N00036112,"Savary, Suzanne Joyce",D,CA48,H4CA48042
N00009660,"Scalise, Steve",R,LA01,H0LA01087
N00036564,"Schaeffer, Kenneth D",3,NY13,H4NY13068
N00004724,"Schakowsky, Jan",D,IL09,H8IL09067
N00036529,"Schamis, Raymond Todd",I,FL22,H4FL22102
N00028138,"Schatz, Brian",D,HIS1,S4HI00136
N00036439,"Schechter, Eric",I,TNS2,S4TN00476
N00036541,"Schertzing, Eric",D,MI08,H4MI05149
N00009585,"Schiff, Adam",D,CA28,H0CA27085
N00030668,"Schilling, Bobby",R,IL17,H0IL17059
N00035602,"Schlakman, Ian",3,MD02,H4MD02166
N00035317,"Schnackenberg, Matt",L,FL11,H4FL11063
N00033101,"Schneider, Brad",D,IL10,H2IL10068
N00029273,"Schock, Aaron",R,IL18,H8IL18043
N00036025,"Scholte, Suzanne",R,VA11,H4VA11087
N00030071,"Schrader, Kurt",D,OR05,H8OR05107
N00036774,"Schroeder, Hank",I,NJS2,S4NJ00326
N00036268,"Schuckman, Perry",D,KS04,H4KS04111
N00026106,"Schultz, Debbie Wasserman",D,FL23,H4FL20023
N00001093,"Schumer, Charles E",D,NYS2,S8NY00082
N00001579,"Schwartz, Allyson",D,PA13,H4PA13124
N00028618,"Schwartz, Leonard",L,MI14,H8MI05108
N00006460,"Schweikert, David",R,AZ06,H4AZ06045
N00036326,"Scolavino, Ruben",D,NJ04,H4NJ04120
N00032457,"Scott, Austin",R,GA08,H0GA08099
N00022725,"Scott, Bob",D,TN02,H8TN02028
N00002147,"Scott, Bobby",D,VA03,H6VA01117
N00024871,"Scott, David",D,GA13,H2GA13012
N00031782,"Scott, Tim",R,SCS1,S4SC00240
N00035028,"Seaman, David",3,FL23,H4FL23068
N00036317,"Seaman, Jack",L,ND01,H4ND01028
N00030695,"Sebring, Dan",R,WI04,H0WI04090
N00034695,"Seibert, Sean",R,TX18,H2TX18140
N00036773,"Senegal, Villian",D,LAS1,S4LA00164
N00035332,"Senger, Darlene",R,IL11,H4IL11195
N00004291,"Sensenbrenner, F James Jr",R,WI05,H8WI09050
N00001813,"Serrano, Jose E",D,NY15,H0NY18065
N00003062,"Sessions, Jeff",R,ALS1,S6AL00195
N00005681,"Sessions, Pete",R,TX32,H2TX03126
N00030622,"Sewell, Terri A",D,AL07,H0AL07086
N00024790,"Shaheen, Jeanne",D,NHS2,S0NH00219
N00022814,"Shapiro, Robert",I,NJ01,H8NJ07041
N00035079,"Sharer, Chris",L,MI13,H2MI13170
N00000680,"Shaw, Herbert",I,NJ08,H4NJ08089
N00036726,"Shbeita, Adam",3,CA44,H4CA44165
N00028091,"Shea-Porter, Carol",D,NH01,H6NH01230
N00009920,"Shelby, Richard C",R,ALS2,S6AL00013
N00035041,"Shell, Mark",L,MD02,H2MD02285
N00035390,"Sheridan, Tim",D,CA42,H4CA42086
N00006897,"Sherman, Brad",D,CA30,H6CA24113
N00036133,"Sherow, Jim",D,KS01,H4KS01075
N00035965,"Sherrell, Lenda",D,TN04,H4TN04171
N00035991,"Shields, Ryan",L,TX21,H4TX21090
N00004961,"Shimkus, John M",R,IL15,H2IL20042
N00036554,"Shoemake, Shelley",3,MS02,H4MS02191
N00036040,"Shogan, Stephen H",I,COS2,S4CO00387
N00013770,"Shuster, Bill",R,PA09,H2PA09035
N00035499,"Silverstein, Matt",D,OKS2,S4OK00216
N00036396,"Simonsen, Collin Robert",3,UT04,H4UT04045
N00036000,"Simonson, Roxanne",L,TX27,H4TX27063
N00006263,"Simpson, Mike",R,ID02,H8ID02064
N00033983,"Sinema, Kyrsten",D,AZ09,H2AZ09019
N00036316,"Sinner, George",D,ND01,H4ND00046
N00027523,"Sires, Albio",D,NJ08,H6NJ13191
N00036821,"Skalsky, George A",I,OH09,H4OH09128
N00036685,"Skarin, Bruce",I,MAS2,S4MA00259
N00001311,"Slaughter, Louise M",D,NY25,H6NY03031
N00007833,"Smith, Adam",D,WA09,H6WA09025
N00027623,"Smith, Adrian",R,NE03,H6NE03115
N00026863,"Smith, Bert",D,OK04,H4OK05066
N00028522,"Smith, Bob",3,TN01,H6TN01495
N00009816,"Smith, Chris",R,NJ04,H8NJ04014
N00035396,"Smith, Glo",R,FL05,H4FL05065
N00035282,"Smith, Jason",R,MO08,H4MO08162
N00036212,"Smith, Jesse T",D,AL03,H4AL03061
N00001811,"Smith, Lamar",R,TX21,H6TX21012
N00035801,"Smith, Larry",R,TX34,H4TX34010
N00036846,"Smith, Ruth",I,IAS2,S4IA00210
N00036717,"Smith, Scott",I,NY18,H4NY18109
N00035953,"Smith, Tootie",R,OR05,H4OR05239
N00035034,"Soffen, Scott",L,MD07,H2MD04299
N00035160,"Solodow, Matthew",L,TX12,H0TX12212
N00031204,"Southerland, Steve",R,FL02,H0FL02110
N00036825,"Souza, Daniel K",L,OR05,H4OR05262
N00036530,"Spain, Paul",R,FL22,H4FL22110
N00035883,"Spangler, Tom",D,IN08,H4IN08207
N00036752,"Spano, Alexander",3,NJ02,H4NJ02173
N00036339,"Spees, Kristen",D,NV02,H4NV02151
N00029649,"Speier, Jackie",D,CA14,H8CA12171
N00036535,"Sperber, Joseph Jean",I,MD02,H4MD02208
N00036343,"St John, Steve",I,NV03,H4NV03134
N00004118,"Stabenow, Debbie",D,MIS2,S8MI00281
N00034892,"Stadler, Chuck",D,MI10,H2MI10101
N00033433,"Stainfield, Tami",I,WVS2,S4WV00258
N00006259,"Stallings, Richard",D,ID02,H2ID02018
N00035151,"Stanczak, James",L,TX29,H2TX29105
N00036226,"Standiford, Debbie",L,AR02,H4AR02174
N00035523,"Stefanik, Elise",R,NY21,H4NY21079
N00030479,"Stein, Gary",I,NJ02,H8NJ02133
N00036646,"Steinhardt, Allen Frank",I,NY05,H4NY05106
N00036804,"Stephens, Barry D",I,ME01,H4ME01145
N00028039,"Stepp, Ken",D,KY05,H6KY05111
N00036562,"Stevenson, Will",3,NY02,H4NY02061
N00033932,"Stewart, Chris",R,UT02,H2UT02324
N00036844,"Stewart, Rick",I,IAS2,S4IA00194
N00029574,"Stivers, Steve",R,OH15,H8OH15076
N00035614,"Stocker, Barbara Hamill",D,MO08,H4MO08212
N00005918,"Stockman, Steve",R,TXS1,S4TX00524
N00036639,"Stockwell, Chris",I,MA04,H4MA06124
N00036242,"Stokes, Steve",I,CA28,H4CA28077
N00001728,"Stracuzzi, Natale",3,DC00,H8DC00143
N00036812,"Strawcutter, Rick",3,MI07,H4MI07202
N00026322,"Strickland, Tony",R,CA25,H2CA26109
N00036561,"Strom, Jason",3,NY01,H4NY01105
N00036390,"Strong, Zack",3,UT03,H4UT03195
N00035339,"Strouse, Kevin",D,PA08,H4PA08108
N00030891,"Stutzman, Marlin",R,IN03,H0IN03198
N00036789,"Suitonu-Chapman, Meleagi",D,AS00,H4AS00093
N00035774,"Sullivan, Dan",R,AKS1,S4AK00214
N00034529,"Sullivan, Mark",D,NE03,H2NE03023
N00033396,"Sund, Sharon",D,MN03,H2MN03062
N00036236,"Sundeen, Dakin",R,CA13,H4CA13087
N00036678,"Swafford, Amanda",L,GAS1,S4GA11327
N00033508,"Swalwell, Eric",D,CA15,H2CA15094
N00036417,"Swaney, Mark H",3,ARS1,S4AR00111
N00036276,"Swartout, David",I,MI07,H4MI07186
N00029432,"Swift, Kat",3,TX35,H4TX35017
N00030465,"Swing, Gary",3,CO06,H8CO01089
N00033798,"Tacherra, Johnny",R,CA16,H2CA16100
N00036441,"Tahiro, Mohammed Abbajebel",3,TXS1,S4TX00581
N00035535,"Takai, Mark",D,HI01,H4HI01134
N00006701,"Takano, Mark",D,CA41,H2CA43245
N00036249,"Tapia, Abel",D,CO03,H4CO00023
N00036534,"Tarpley, Ed",R,LA05,H4LA05213
N00028727,"Tatar, John",L,MI11,H8MI11247
N00035957,"Taylor, Kerith Strano",D,PA05,H4PA05062
N00036334,"Teijeiro, Annette",R,NV01,H4NV01153
N00035674,"Tennant, Natalie",D,WVS2,S4WV00183
N00005321,"Terry, Lee",R,NE02,H8NE02139
N00027605,"Tester, Jon",D,MTS1,S6MT00162
N00030211,"Theron, Peter",R,WI02,H8WI02121
N00035889,"Thomas, Charles (Trey)",R,LA06,H4LA06120
N00036718,"Thomas, Dave",3,MN04,H4MN04124
N00003288,"Thompson, Bennie G",D,MS02,H4MS02068
N00029736,"Thompson, Glenn",R,PA05,H8PA05071
N00036855,"Thompson, Lee",3,AZ03,H4AZ03083
N00036364,"Thompson, Linda",D,PA04,H4PA00048
N00007419,"Thompson, Mike",D,CA05,H8CA01109
N00006052,"Thornberry, Mac",R,TX13,H4TX13014
N00036745,"Thorne, Robert",I,NJ08,H4NJ08097
N00035587,"Thorsland, Eric",D,IL15,H4IL15071
N00004572,"Thune, John",R,SDS1,S2SD00068
N00035747,"Tibbs, David",D,OH12,H4OH12072
N00009699,"Tiberi, Patrick J",R,OH12,H0OH12062
N00000226,"Tierney, John F",D,MA06,H4MA06033
N00035340,"Tilghman, Bill",D,MD01,H4MD01101
N00035492,"Tillis, Thom",R,NCS1,S4NC00162
N00034027,"Tillman, Jimmy Lee",R,IL01,H2IL01182
N00027509,"Tipton, Scott",R,CO03,H6CO03139
N00036470,"Tiscornia, Jude Anthony",R,NJ08,H4NJ08071
N00033812,"Tisei, Richard",R,MA06,H2MA00014
N00030191,"Titus, Dina",D,NV01,H8NV03036
N00032169,"Tobin, Andy",R,AZ01,H0AZ01325
N00036721,"Tomaszewski, Scot John",I,NJ01,H4NJ01142
N00030196,"Tonko, Paul",D,NY20,H8NY21203
N00001489,"Toomey, Pat",R,PAS1,S4PA00121
N00036107,"Torres, Norma",D,CA35,H4CA35031
N00035760,"Tottenham, Philip",I,TX21,H4TX21058
N00036652,"Trammell, Jack",D,VA07,H4VA07150
N00031133,"Trivedi, Manan",D,PA06,H0PA06084
N00036369,"Troiano, Nicholas Robert",I,PA10,H4PA10062
N00035607,"Trott, Dave",R,MI11,H4MI11097
N00034930,"Trout, W Michael (Mike)",I,FL21,H2FL21066
N00028830,"Trudell, Jerry",I,VT01,H6VT00228
N00036392,"Tryon, Stephen P",I,UT03,H4UT03211
N00029026,"Tsongas, Niki",D,MA03,H8MA05143
N00007638,"Tuika, Tuika",I,AS00,H2AS00030
N00036788,"Tulafono, Togiola",D,AS00,H4AS00085
N00028444,"Turk, Jacob",R,MO05,H6MO05189
N00025175,"Turner, Michael R",R,OH10,H2OH03067
N00036463,"Tyler, Rick",I,TNS2,S4TN00484
N00035937,"Tyszkiewicz, Marek",D,OH02,H4OH02156
N00008051,"Udall, Mark",D,COS2,S8CO00172
N00006561,"Udall, Tom",D,NMS2,S8NM00184
N00036787,"Ude, Mark",I,AS00,H4AS00077
N00036377,"Umbaugh, Kevin Robert",L,SC06,H4SC06098
N00004133,"Upton, Fred",R,MI06,H6MI04113
N00033367,"Valadao, David",R,CA21,H2CA20094
N00013820,"Van Hollen, Chris",D,MD08,H2MD08126
N00036827,"Vance, Donald L",I,TX19,H4TX19292
N00036381,"Vance, Dwayne A",3,UT01,H4UT01124
N00035900,"Vanderstelt, Dean",D,MI02,H4MI02104
N00032311,"Vandeven, Rick",L,MO08,H0MO08277
N00007021,"Vargas, Juan",D,CA51,H2CA50026
N00036144,"Vaughn, Carrogan",R,MD07,H4MD07074
N00036010,"Veach, Rodney",L,TX36,H4TX36080
N00035969,"Veasaw, James B",L,TX02,H4TX02173
N00033839,"Veasey, Marc",D,TX33,H2TX33073
N00034451,"Vein, Jim",L,UT04,H2UT04056
N00034349,"Vela, Filemon",D,TX34,H2TX27190
N00001102,"Velazquez, Nydia M",D,NY07,H2NY00010
N00035720,"Venuti, Joe",U,FL16,H4FL16138
N00003813,"Visclosky, Pete",D,IN01,H4IN01012
N00009659,"Vitter, David",R,LAS2,S4LA00057
N00036779,"Vivoni, Miguel Hernandez",3,PR00,H4PR00095
N00035799,"Vogel, David Donald",D,GA09,H4GA09057
N00034515,"Vohra, Arvin",L,MD04,H2MD05510
N00036851,"Waddell, David",3,NCS1,S4NC00295
N00031883,"Wade, Kevin",R,DES2,S2DE00064
N00035207,"Wager, Michael",D,OH14,H4OH14102
N00033106,"Wagner, Ann L",R,MO02,H2MO02102
N00036849,"Wahmoff, Chris",3,MIS1,S4MI00413
N00035424,"Wakefield, Margie",D,KS02,H4KS02115
N00026368,"Walberg, Tim",R,MI07,H4MI07103
N00007690,"Walden, Greg",R,OR02,H6OR02116
N00036548,"Walhgren, Sharna",R,MN04,H4MN04116
N00035311,"Walker, Bradley",R,NC06,H4NC06052
N00036691,"Walker, Clayton G",I,SDS2,S4SD00114
N00036675,"Walker, Thom M",L,AKS1,S4AK00255
N00024108,"Walkowicz, Gary",I,MI12,H8MI07039
N00033288,"Wallace, Dave",R,MD08,H2MD06138
N00030975,"Wallace, Eric M",R,IL02,H4IL02301
N00036551,"Walley, Lajena",3,MS01,H4MS01128
N00031226,"Walorski, Jackie",R,IN02,H0IN02190
N00035686,"Walsh, John",D,MTS2,S4MT00118
N00035568,"Walsh, Martin H",R,CO01,H4CO01112
N00036531,"Walters, Alejandro M",I,FL24,H4FL24033
N00035391,"Walters, Mimi",R,CA45,H4CA45097
N00027467,"Walz, Timothy J",D,MN01,H6MN01174
N00035514,"Ward, Rick",R,LA06,H4LA06096
N00002097,"Warner, Mark",D,VAS2,S6VA00093
N00033492,"Warren, Elizabeth",D,MAS1,S2MA00170
N00026620,"Washer, Barbara Dale",3,MS03,H4MS01102
N00006690,"Waters, Maxine",D,CA43,H4CA23011
N00036202,"Watson, Todd",I,NES2,S4NE00157
N00001861,"Waxman, Henry",D,CA33,H6CA24048
N00036764,"Waymire, William Jr",D,LAS1,S4LA00172
N00033539,"Weber, Randy",R,TX14,H2TX14149
N00026335,"Webster, Daniel",R,FL10,H0FL08208
N00036813,"Weeks, James II",L,MI08,H4MI08168
N00036054,"Weh, Allen",R,NMS2,S4NM00100
N00035784,"Wehby, Monica",R,ORS1,S4OR00198
N00004578,"Weiland, Rick",D,SDS2,S4SD00056
N00034252,"Weisser, Mikel",D,AZ04,H2AZ04143
N00036293,"Welborn, Roy",L,MO05,H4MO05341
N00000515,"Welch, Peter",D,VT01,H6VT00160
N00036807,"Welch, Ronald II",L,MI02,H4MI02112
N00030480,"Welzer, Steven",3,NJ12,H8NJ04154
N00033310,"Wenstrup, Brad",R,OH02,H2OH02085
N00036352,"Weppner, Kathleen",R,NY26,H4NY26052
N00035527,"Westerman, Bruce",R,AR04,H4AR04048
N00036030,"Westlund, Kelly",D,WI07,H4WI07095
N00026163,"Westmoreland, Lynn A",R,GA03,H4GA08067
N00035904,"Westrom, Torrey",R,MN07,H4MN07077
N00035709,"Whallon, Andrew",R,CA47,H4CA47069
N00034249,"Wharton, Scott",D,OH15,H2OH15095
N00036252,"Wheeler, Marihelen",D,FL03,H4FL03110
N00035988,"Whelan, Jennifer",L,TX18,H4TX18104
N00035735,"White Wolf, Shawn",I,MT01,H4MT00076
N00027421,"White, Will Tyler",L,MI04,H4MI08093
N00027533,"Whitehouse, Sheldon",D,RIS1,S6RI00221
N00003467,"Whitfield, Ed",R,KY01,H4KY01040
N00036636,"Whitney, Lenar",R,LA06,H4LA06179
N00036113,"Wichern, Mark",I,FL01,H4FL01155
N00003280,"Wicker, Roger",R,MSS2,S8MS00196
N00029769,"Wieder, John",L,TX14,H8TX22180
N00035762,"Wiegmann, Matthew",D,TX26,H4TX26099
N00035862,"Wight, Thomas",D,GA07,H4GA07267
N00026737,"Wildman, Andrew Jaye",I,MD08,H4MD08205
N00036327,"Wilkinson, Anthony",R,NJ06,H4NJ06109
N00036225,"Willhite, Brian",L,AR01,H4AR01069
N00036829,"Williams, Eric Lemonte",I,TX30,H4TX30042
N00035680,"Williams, Peter",D,LA06,H4LA05171
N00030602,"Williams, Roger",R,TX25,H2TX33040
N00036619,"Williamson, John W",D,AZ06,H4AZ06102
N00036843,"Willoughby, Donald",I,COS2,S4CO00429
N00036440,"Wilmoth, Joe B",I,TNS2,S4TN00492
N00035834,"Wilske, Larry",R,CA53,H4CA53059
N00030650,"Wilson, Frederica",D,FL24,H0FL17068
N00024809,"Wilson, Joe",R,SC02,H2SC02059
N00036136,"Wilt, Bill",I,MA05,H4MA05167
N00036467,"Winton, Mike",I,TN06,H4TN06184
